"config_id","hamming","state","adj_sets","HEE_EC","EC_ED","EC_P","EC_MH","PH_MH","SA_MH","SI_MH","EC_PH"
93,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","original","reversed","original","reversed","original","original","original"
94,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","reversed","reversed","original","reversed","original","original","original"
95,4,"cyclic","","reversed","reversed","reversed","original","reversed","original","original","original"
96,4,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH}","latent","reversed","reversed","original","reversed","original","original","original"
97,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","latent","reversed","original","reversed","original","original","original"
98,4,"cyclic","","reversed","latent","reversed","original","reversed","original","original","original"
99,4,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","latent","reversed","original","reversed","original","original","original"
100,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","original","latent","original","reversed","original","original","original"
101,3,"cyclic","","reversed","original","latent","original","reversed","original","original","original"
102,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","original","latent","original","reversed","original","original","original"
103,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","reversed","latent","original","reversed","original","original","original"
104,4,"cyclic","","reversed","reversed","latent","original","reversed","original","original","original"
105,4,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH}","latent","reversed","latent","original","reversed","original","original","original"
106,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","latent","latent","original","reversed","original","original","original"
107,4,"cyclic","","reversed","latent","latent","original","reversed","original","original","original"
108,4,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","latent","latent","original","reversed","original","original","original"
109,2,"cyclic","","original","original","original","reversed","reversed","original","original","original"
110,3,"cyclic","","reversed","original","original","reversed","reversed","original","original","original"
111,3,"cyclic","","latent","original","original","reversed","reversed","original","original","original"
112,3,"cyclic","","original","reversed","original","reversed","reversed","original","original","original"
113,4,"cyclic","","reversed","reversed","original","reversed","reversed","original","original","original"
114,4,"cyclic","","latent","reversed","original","reversed","reversed","original","original","original"
115,3,"cyclic","","original","latent","original","reversed","reversed","original","original","original"
116,4,"cyclic","","reversed","latent","original","reversed","reversed","original","original","original"
117,4,"cyclic","","latent","latent","original","reversed","reversed","original","original","original"
118,3,"cyclic","","original","original","reversed","reversed","reversed","original","original","original"
119,4,"cyclic","","reversed","original","reversed","reversed","reversed","original","original","original"
120,4,"cyclic","","latent","original","reversed","reversed","reversed","original","original","original"
121,4,"cyclic","","original","reversed","reversed","reversed","reversed","original","original","original"
122,5,"cyclic","","reversed","reversed","reversed","reversed","reversed","original","original","original"
123,5,"cyclic","","latent","reversed","reversed","reversed","reversed","original","original","original"
124,4,"cyclic","","original","latent","reversed","reversed","reversed","original","original","original"
125,5,"cyclic","","reversed","latent","reversed","reversed","reversed","original","original","original"
